id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
17838666,Ribeira - Dixo's Oporto Apartments III,30898219,Dixo'S,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14183,-8.61358,Entire home/apt,53,1,280,2020-03-01,5.37,1,332
17840117,"NEW Happy4Downtown*Insurance,WiFi,AC,Elevator,View",97966252,João & Márcia,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15264,-8.60388,Entire home/apt,61,2,68,2019-10-06,1.38,2,184
17840173,Maison neuve d’environ 150 m2 située à Sobrado,122025658,José,VALONGO,Campo e Sobrado,41.19902,-8.46953,Entire home/apt,70,4,11,2019-08-16,0.30,1,324
17842045,Póvoa Praia 2 bedroom with a view to the ocean,23585920,Lisa,PÓVOA DE VARZIM,"Póvoa de Varzim, Beiriz e Argivai",41.38067,-8.76872,Entire home/apt,96,2,45,2019-08-18,0.87,10,323
17842570,"Happy 6 Downtown *[Insurance,WiFi,AC,Elevator]*",97966252,João & Márcia,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15264,-8.60388,Entire home/apt,78,2,69,2019-10-09,1.44,2,293
17844832,1824 Riverside Balcony _ Downtown/Ribeira,122071268,Raquel & Rogério,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14307,-8.61741,Entire home/apt,62,2,155,2021-07-04,2.99,2,306
17846849,Modern apartment at metro station,7682448,Joana & Miguel,MATOSINHOS,São Mamede de Infesta e Senhora da Hora,41.18788,-8.65635,Entire home/apt,35,2,53,2019-08-08,1.08,8,0
17847077,Apartment Bessa,97104881,Moisés,PORTO,Bonfim,41.14946,-8.59364,Entire home/apt,56,3,12,2020-01-30,0.25,4,86
17847269,Oporto Sun Apartment,122099420,Isabel,PORTO,Bonfim,41.15626,-8.59375,Entire home/apt,50,7,24,2020-09-05,0.46,1,277
17853856,Oporto Downtown Flats 2F,121931859,Oporto,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.145,-8.6029,Entire home/apt,110,1,4,2017-05-27,0.08,7,365
17862976,quarto acolhedor,122250222,Aparecida,VILA NOVA DE GAIA,Mafamude e Vilar do Paraíso,41.12438,-8.61178,Private room,30,1,60,2019-06-10,1.20,2,360
17864319,GuestReady - Porto Dream,116827716,Marta,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15247,-8.60695,Entire home/apt,35,2,223,2019-11-11,4.32,3,354
17869143,APPARTEMENT PORTO PORTUGAL,122322772,Belarmino,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.13,-8.61137,Entire home/apt,80,3,2,2017-04-06,0.04,1,0
17873554,Sunny & Quiet Flat w/balcony in Center,60754348,Josefa,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15201,-8.61492,Entire home/apt,74,2,202,2020-10-01,3.88,2,277
17882684,Ruína - Castle of the Cheese Beach Houses,49527783,Maria,PORTO,"Aldoar, Foz do Douro e Nevogilde",41.16956,-8.68686,Entire home/apt,43,2,102,2018-07-14,1.96,2,239
17892784,Home Made Guest Studios - RC Frente,16211101,Maria,PORTO,Bonfim,41.14709,-8.59311,Hotel room,57,1,1,2019-10-13,0.05,11,159
17899509,Quinta da Escadinha,115218732,Luis,AROUCA,Mansores,40.94998,-8.34994,Entire home/apt,114,2,9,2019-06-10,0.18,1,130
17904602,Sand Beach Apartment - Apartamento Praia de Areia,85911143,Manuel,VILA DO CONDE,Árvore,41.33515,-8.73161,Entire home/apt,1000,2,15,2018-09-02,0.30,3,0
17904699,Apartamento D'Alegria 3 by Amber Star Rent,47788215,Liucija,PORTO,Bonfim,41.16104,-8.60026,Entire home/apt,46,2,5,2020-08-05,0.10,6,330
17912098,Albergaria de Sta. Catarina,45218019,Gaspar,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15131,-8.60518,Entire home/apt,60,2,173,2021-06-30,3.39,3,60
17918066,Studio residence equipped and with furniture,122098512,Maria,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.14351,-8.63686,Entire home/apt,55,2,76,2019-10-12,1.52,1,100
17918402,Room Clock in Casa Galeria. Modern and central!,31519672,Rosália,PORTO,Paranhos,41.16473,-8.60351,Private room,59,1,3,2018-05-04,0.07,3,346
17918567,Sun Day - Lovely Mezzanine w/ FREE PARKING,88154912,Sunday,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14885,-8.60341,Entire home/apt,42,2,51,2021-07-09,1.00,2,295
17925880,Porto Sunset Terrace,122912969,Marisa,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14783,-8.60263,Entire home/apt,45,2,102,2019-09-06,1.98,1,188
17936148,River View in Historical Center,19458554,Filomena & Ana,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14523,-8.61919,Entire home/apt,100,3,145,2020-02-19,3.06,4,322
17936483,Riverside City Centre Penthouse,95088635,Hugo,PORTO,Bonfim,41.14188,-8.59894,Entire home/apt,69,3,70,2020-03-08,1.42,3,355
